t,x,y
0.00E+00,-3.49E-01,3.18E+00
4.17E-02,-3.30E-01,3.18E+00
8.33E-02,-2.91E-01,3.16E+00
1.25E-01,-2.52E-01,3.15E+00
1.67E-01,-1.55E-01,3.11E+00
2.08E-01,0.00E+00,3.11E+00
2.50E-01,1.55E-01,3.11E+00
2.92E-01,3.30E-01,3.11E+00
3.33E-01,4.85E-01,3.13E+00
3.75E-01,6.41E-01,3.07E+00
4.17E-01,9.32E-01,2.99E+00
4.58E-01,1.11E+00,2.83E+00
5.00E-01,1.30E+00,2.62E+00
5.42E-01,1.57E+00,2.41E+00
5.83E-01,1.77E+00,2.10E+00
6.25E-01,2.06E+00,1.79E+00
6.67E-01,2.27E+00,1.51E+00
7.08E-01,2.49E+00,1.03E+00
7.50E-01,2.62E+00,5.05E-01
7.92E-01,2.78E+00,5.82E-02
8.33E-01,2.97E+00,-4.27E-01
8.75E-01,3.07E+00,-8.54E-01
9.17E-01,3.15E+00,-1.26E+00
9.58E-01,3.11E+00,-1.71E+00
1.00E+00,3.09E+00,-2.08E+00
