t,x,y
0.00E+00,-2.33E-01,1.38E+00
4.17E-02,-2.72E-01,1.38E+00
8.33E-02,-1.75E-01,1.34E+00
1.25E-01,-9.71E-02,1.32E+00
1.67E-01,-1.94E-02,1.30E+00
2.08E-01,1.94E-02,1.28E+00
2.50E-01,9.71E-02,1.28E+00
2.92E-01,1.36E-01,1.36E+00
3.33E-01,1.55E-01,1.36E+00
3.75E-01,2.52E-01,1.36E+00
4.17E-01,2.91E-01,1.32E+00
4.58E-01,4.47E-01,1.20E+00
5.00E-01,5.05E-01,1.07E+00
5.42E-01,6.41E-01,8.35E-01
5.83E-01,6.60E-01,7.38E-01
6.25E-01,7.96E-01,5.24E-01
6.67E-01,9.13E-01,2.91E-01
7.08E-01,1.01E+00,1.94E-02
7.50E-01,1.11E+00,-2.91E-01
7.92E-01,1.20E+00,-6.80E-01
8.33E-01,1.28E+00,-9.90E-01
8.75E-01,1.44E+00,-1.28E+00
9.17E-01,1.34E+00,-1.57E+00
9.58E-01,1.38E+00,-1.86E+00
1.00E+00,1.36E+00,-2.16E+00
