Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.000915	-0.000150	0.000766	0.000615	-0.000971	0.000356
0.005000	-0.019252	-0.002230	0.017022	0.012402	-0.020943	0.008540
0.010000	-0.084733	-0.007958	0.076775	0.053515	-0.093247	0.039732
0.015000	-0.197014	-0.015925	0.181088	0.122940	-0.218297	0.095357
0.020000	-0.327445	-0.023042	0.304403	0.202354	-0.364798	0.162444
0.025000	-0.444666	-0.026522	0.418144	0.272040	-0.498144	0.226103
0.030000	-0.530634	-0.025199	0.505435	0.320910	-0.598174	0.277264
0.035000	-0.582250	-0.019623	0.562627	0.347492	-0.660995	0.313504
0.040000	-0.605529	-0.011051	0.594477	0.355983	-0.692824	0.336841
0.045000	-0.609296	-0.000976	0.608320	0.352340	-0.702991	0.350650
0.050000	-0.601586	0.008391	0.609977	0.342481	-0.699496	0.357015
0.055000	-0.587778	0.015097	0.602875	0.330638	-0.687424	0.356786
0.060000	-0.570903	0.018592	0.589495	0.318877	-0.669956	0.351079
0.065000	-0.552228	0.019391	0.571620	0.307633	-0.648854	0.341220
0.070000	-0.532218	0.017903	0.550121	0.296940	-0.624888	0.327948
0.075000	-0.511992	0.014809	0.526802	0.287049	-0.599748	0.312699
0.080000	-0.492731	0.011859	0.504590	0.277631	-0.575803	0.298172
0.085000	-0.475080	0.010354	0.485434	0.268310	-0.554552	0.286243
0.090000	-0.459344	0.009687	0.469031	0.259610	-0.535997	0.276388
0.095000	-0.445985	0.008666	0.454651	0.252486	-0.519982	0.267496
0.100000	-0.435558	0.007114	0.442672	0.247362	-0.507046	0.259684
0.105000	-0.428760	0.005424	0.434183	0.244413	-0.498220	0.253807
0.110000	-0.425933	0.003891	0.429824	0.243666	-0.494071	0.250405
0.115000	-0.426957	0.002774	0.429731	0.244902	-0.494609	0.249707
0.120000	-0.431392	0.002473	0.433865	0.247636	-0.499556	0.251920
0.125000	-0.438554	0.002820	0.441374	0.251571	-0.508027	0.256455
0.130000	-0.447716	0.002457	0.450173	0.257071	-0.518396	0.261326
0.135000	-0.458659	-0.000057	0.458601	0.264840	-0.529580	0.264740
0.140000	-0.471789	-0.005610	0.466179	0.275626	-0.541536	0.265910
0.145000	-0.487728	-0.014384	0.473343	0.289894	-0.554874	0.264980
0.150000	-0.506686	-0.025279	0.481407	0.307130	-0.570475	0.263346
0.155000	-0.525952	-0.036869	0.489083	0.324945	-0.586031	0.261086
0.160000	-0.540413	-0.047850	0.492563	0.339634	-0.596388	0.256755
0.165000	-0.546053	-0.057546	0.488507	0.348488	-0.597304	0.248816
0.170000	-0.541491	-0.066111	0.475380	0.350799	-0.587091	0.236291
0.175000	-0.527809	-0.073933	0.453876	0.347416	-0.566776	0.219360
0.180000	-0.507926	-0.081527	0.426399	0.340321	-0.539433	0.199112
0.185000	-0.485465	-0.088773	0.396692	0.331536	-0.509313	0.177777
0.190000	-0.463994	-0.094673	0.369321	0.322546	-0.481114	0.158568
0.195000	-0.446113	-0.097754	0.348359	0.314001	-0.458688	0.144687
0.200000	-0.432878	-0.097683	0.335196	0.306319	-0.443448	0.137128
0.205000	-0.423573	-0.094925	0.328648	0.299355	-0.434295	0.134940
0.210000	-0.416407	-0.090096	0.326311	0.292430	-0.428809	0.136379
0.215000	-0.410166	-0.084376	0.325790	0.285524	-0.424904	0.139381
0.220000	-0.405297	-0.079253	0.326044	0.279755	-0.422240	0.142485
0.225000	-0.403611	-0.076295	0.327316	0.277074	-0.422000	0.144926
0.230000	-0.405514	-0.076062	0.329452	0.278038	-0.424333	0.146295
0.235000	-0.409949	-0.078097	0.331852	0.281773	-0.428279	0.146506
0.240000	-0.416271	-0.081934	0.334337	0.287639	-0.433364	0.145725
0.245000	-0.424412	-0.086970	0.337442	0.295247	-0.439856	0.144610
0.250000	-0.434720	-0.092289	0.342431	0.304269	-0.448689	0.144420
0.255000	-0.447611	-0.097037	0.350574	0.314452	-0.460832	0.146380
0.260000	-0.462579	-0.099610	0.362970	0.324580	-0.476631	0.152051
0.265000	-0.478715	-0.098754	0.379960	0.333402	-0.495756	0.162354
0.270000	-0.495557	-0.093735	0.401822	0.340227	-0.518102	0.177874
0.275000	-0.512181	-0.084955	0.427227	0.344757	-0.542367	0.197611
0.280000	-0.526520	-0.079839	0.446681	0.350081	-0.561877	0.211796
0.285000	-0.528772	-0.098037	0.430735	0.361888	-0.553971	0.192083
0.290000	-0.499487	-0.147470	0.352017	0.373520	-0.491616	0.118096
0.295000	-0.423835	-0.211314	0.212521	0.366703	-0.367400	0.000697
0.300000	-0.302368	-0.255412	0.046956	0.322034	-0.201682	-0.120352
0.305000	-0.153848	-0.242958	-0.089110	0.229096	-0.037377	-0.191719
0.310000	-0.015395	-0.153300	-0.137905	0.097396	0.070731	-0.168128
0.315000	0.071441	0.010600	-0.060841	-0.047366	0.076373	-0.029007
0.320000	0.081076	0.226278	0.145202	-0.177451	-0.037023	0.214474
0.325000	0.013304	0.450676	0.437371	-0.267879	-0.244835	0.512714
0.330000	-0.110221	0.630046	0.740268	-0.300121	-0.491030	0.791151
0.335000	-0.257013	0.725213	0.982226	-0.270316	-0.715474	0.985790
0.340000	-0.396924	0.725352	1.122276	-0.189618	-0.877110	1.066728
0.345000	-0.509032	0.644309	1.153341	-0.078102	-0.959771	1.037873
0.350000	-0.584566	0.508401	1.092967	0.043974	-0.968524	0.924550
0.355000	-0.626350	0.345732	0.972081	0.162015	-0.922854	0.760839
0.360000	-0.643528	0.181058	0.824586	0.267007	-0.847615	0.580609
0.365000	-0.646277	0.033786	0.680062	0.353622	-0.765762	0.412140
0.370000	-0.642587	-0.082567	0.560020	0.418667	-0.694325	0.275658
0.375000	-0.637221	-0.162338	0.474884	0.461625	-0.642074	0.180448
0.380000	-0.632337	-0.207783	0.424554	0.485043	-0.610196	0.125153
0.385000	-0.628143	-0.226398	0.401746	0.493369	-0.594607	0.101237
0.390000	-0.623657	-0.227417	0.396240	0.491367	-0.588837	0.097470
0.395000	-0.618694	-0.219107	0.399587	0.483704	-0.587904	0.104200
0.400000	-0.614295	-0.207676	0.406619	0.474565	-0.589425	0.114859
0.405000	-0.610808	-0.196785	0.414023	0.466264	-0.591687	0.125423
0.410000	-0.607396	-0.187116	0.420280	0.458712	-0.593329	0.134617
0.415000	-0.603434	-0.178360	0.425074	0.451369	-0.593809	0.142440
0.420000	-0.598944	-0.171003	0.427941	0.444529	-0.592872	0.148343
0.425000	-0.593766	-0.166023	0.427742	0.438664	-0.589768	0.151104
0.430000	-0.587202	-0.163600	0.423603	0.433476	-0.583588	0.150113
0.435000	-0.578548	-0.162620	0.415928	0.427913	-0.574160	0.146247
0.440000	-0.567272	-0.161997	0.405274	0.421043	-0.561499	0.140456
0.445000	-0.553151	-0.161064	0.392087	0.412352	-0.545733	0.133381
0.450000	-0.536458	-0.159010	0.377447	0.401528	-0.527643	0.126115
0.455000	-0.517420	-0.155428	0.361992	0.388469	-0.507729	0.119259
0.460000	-0.497048	-0.150750	0.346297	0.374006	-0.486905	0.112899
0.465000	-0.476981	-0.145174	0.331807	0.359201	-0.466953	0.107753
0.470000	-0.458249	-0.138019	0.320229	0.344255	-0.449454	0.105199
0.475000	-0.441188	-0.129817	0.311372	0.329670	-0.434490	0.104821
0.480000	-0.426190	-0.122195	0.303995	0.316610	-0.421572	0.104962
0.485000	-0.413852	-0.116279	0.297573	0.306071	-0.410741	0.104670
