Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.000330	-0.001269	-0.000939	0.000923	0.000352	-0.001275
0.005000	-0.014399	-0.013712	0.000687	0.016230	-0.008710	-0.007520
0.010000	-0.074623	-0.039867	0.034756	0.066101	-0.063150	-0.002951
0.015000	-0.182234	-0.068134	0.114100	0.144550	-0.171089	0.026538
0.020000	-0.303357	-0.083451	0.219906	0.223324	-0.302106	0.078782
0.025000	-0.409027	-0.067278	0.341750	0.274995	-0.433461	0.158466
0.030000	-0.494566	0.005691	0.500257	0.282252	-0.574361	0.292110
0.035000	-0.572869	0.155480	0.728349	0.240979	-0.751258	0.510279
0.040000	-0.663757	0.381903	1.045660	0.162728	-0.986932	0.824204
0.045000	-0.777519	0.651733	1.429252	0.072623	-1.274080	1.201457
0.050000	-0.902479	0.900422	1.802901	0.001188	-1.561951	1.560763
0.055000	-1.013240	1.064407	2.077647	-0.029541	-1.784524	1.814065
0.060000	-1.087472	1.109118	2.196590	-0.012497	-1.896053	1.908551
0.065000	-1.115104	1.033114	2.148218	0.047337	-1.884079	1.836742
0.070000	-1.093929	0.857092	1.951020	0.136738	-1.758001	1.621264
0.075000	-1.028458	0.620409	1.648868	0.235587	-1.545754	1.310167
0.080000	-0.935763	0.375270	1.311033	0.323600	-1.297187	0.973587
0.085000	-0.839160	0.165319	1.004479	0.389042	-1.064425	0.675383
0.090000	-0.757190	0.012186	0.769376	0.430128	-0.881363	0.451235
0.095000	-0.698623	-0.083116	0.615507	0.451337	-0.758713	0.307376
0.100000	-0.663764	-0.132752	0.531012	0.459869	-0.689804	0.229935
0.105000	-0.647586	-0.153183	0.494403	0.462324	-0.659327	0.197003
0.110000	-0.643393	-0.158418	0.484975	0.462925	-0.651463	0.188538
0.115000	-0.645677	-0.158370	0.487306	0.464217	-0.654128	0.189911
0.120000	-0.650305	-0.158431	0.491874	0.466924	-0.659437	0.192513
0.125000	-0.654577	-0.159109	0.495468	0.469781	-0.663979	0.194197
0.130000	-0.656713	-0.159347	0.497366	0.471152	-0.666307	0.195155
0.135000	-0.655257	-0.159062	0.496195	0.470147	-0.664791	0.194644
0.140000	-0.649389	-0.158108	0.491281	0.466208	-0.658566	0.192358
0.145000	-0.638816	-0.156219	0.482597	0.459014	-0.647448	0.188434
0.150000	-0.624328	-0.153725	0.470603	0.449209	-0.632158	0.182949
0.155000	-0.607559	-0.151037	0.456523	0.437976	-0.614348	0.176372
0.160000	-0.590011	-0.147606	0.442406	0.425863	-0.596066	0.170203
0.165000	-0.572910	-0.143326	0.429585	0.413519	-0.578790	0.165271
0.170000	-0.557650	-0.139209	0.418441	0.402332	-0.563546	0.161214
0.175000	-0.545352	-0.135680	0.409671	0.393194	-0.551383	0.158189
0.180000	-0.536384	-0.132602	0.403782	0.386239	-0.542805	0.156566
0.185000	-0.530636	-0.130419	0.400218	0.381660	-0.537428	0.155769
0.190000	-0.528048	-0.129833	0.398215	0.379827	-0.534778	0.154950
0.195000	-0.528527	-0.130819	0.397709	0.380673	-0.534762	0.154089
0.200000	-0.531689	-0.132781	0.398908	0.383632	-0.537280	0.153648
