Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.000951	-0.000132	0.000819	0.000625	-0.001022	0.000397
0.005000	-0.020417	-0.003407	0.017010	0.013755	-0.021609	0.007854
0.010000	-0.090126	-0.015948	0.074178	0.061242	-0.094861	0.033619
0.015000	-0.209622	-0.038142	0.171480	0.143046	-0.220030	0.076983
0.020000	-0.349054	-0.064496	0.284558	0.238763	-0.365816	0.127053
0.025000	-0.475633	-0.088730	0.386903	0.325835	-0.497985	0.172150
0.030000	-0.569974	-0.107050	0.462924	0.390880	-0.596344	0.205464
0.035000	-0.628329	-0.118611	0.509717	0.431246	-0.657051	0.225805
0.040000	-0.657241	-0.124532	0.532709	0.451357	-0.687018	0.235661
0.045000	-0.666860	-0.126542	0.540318	0.458071	-0.696965	0.238894
0.050000	-0.666317	-0.126355	0.539962	0.457649	-0.696445	0.238796
0.055000	-0.661948	-0.125366	0.536582	0.454556	-0.691971	0.237415
0.060000	-0.657160	-0.124259	0.532901	0.451152	-0.687081	0.235930
0.065000	-0.653134	-0.123302	0.529832	0.448276	-0.682985	0.234710
0.070000	-0.649949	-0.122545	0.527404	0.446000	-0.679745	0.233745
0.075000	-0.647336	-0.121976	0.525360	0.444162	-0.677056	0.232894
0.080000	-0.644978	-0.121548	0.523430	0.442554	-0.674580	0.232026
0.085000	-0.642669	-0.121223	0.521445	0.441033	-0.672101	0.231068
0.090000	-0.640310	-0.120923	0.519387	0.439498	-0.669551	0.230053
0.095000	-0.637917	-0.120557	0.517359	0.437905	-0.666999	0.229094
0.100000	-0.635523	-0.120165	0.515358	0.436297	-0.664461	0.228165
0.105000	-0.633058	-0.119718	0.513340	0.434615	-0.661873	0.227257
0.110000	-0.630487	-0.119159	0.511328	0.432808	-0.659227	0.226419
0.115000	-0.627851	-0.118445	0.509405	0.430874	-0.656595	0.225721
0.120000	-0.625214	-0.117654	0.507560	0.428895	-0.654007	0.225112
0.125000	-0.622615	-0.116930	0.505684	0.426977	-0.651424	0.224447
0.130000	-0.620031	-0.116342	0.503689	0.425145	-0.648779	0.223634
0.135000	-0.617458	-0.115895	0.501563	0.423402	-0.646067	0.222666
0.140000	-0.614883	-0.115492	0.499391	0.421682	-0.643326	0.221644
0.145000	-0.612323	-0.115065	0.497258	0.419958	-0.640617	0.220659
0.150000	-0.609733	-0.114578	0.495155	0.418181	-0.637907	0.219726
0.155000	-0.607080	-0.114063	0.493017	0.416352	-0.635141	0.218789
0.160000	-0.604540	-0.113641	0.490900	0.414642	-0.632452	0.217810
0.165000	-0.602182	-0.113389	0.488793	0.413135	-0.629874	0.216740
0.170000	-0.599885	-0.113222	0.486663	0.411712	-0.627318	0.215606
0.175000	-0.597591	-0.112978	0.484613	0.410247	-0.624810	0.214563
0.180000	-0.595327	-0.112639	0.482688	0.408744	-0.622392	0.213648
0.185000	-0.593066	-0.112316	0.480751	0.407252	-0.619968	0.212716
0.190000	-0.590769	-0.112013	0.478756	0.405751	-0.617490	0.211739
0.195000	-0.588424	-0.111622	0.476803	0.404172	-0.615009	0.210837
0.200000	-0.586001	-0.111138	0.474863	0.402493	-0.612490	0.209997
0.205000	-0.583543	-0.110597	0.472947	0.400762	-0.609965	0.209203
0.210000	-0.581073	-0.109999	0.471073	0.398990	-0.607457	0.208466
0.215000	-0.578609	-0.109424	0.469185	0.397236	-0.604944	0.207708
0.220000	-0.576163	-0.108960	0.467203	0.395555	-0.602388	0.206832
0.225000	-0.573730	-0.108591	0.465140	0.393938	-0.599791	0.205854
0.230000	-0.571291	-0.108209	0.463082	0.392310	-0.597195	0.204886
0.235000	-0.568849	-0.107782	0.461068	0.390653	-0.594622	0.203970
0.240000	-0.566461	-0.107397	0.459064	0.389052	-0.592087	0.203035
0.245000	-0.564158	-0.107088	0.457070	0.387544	-0.589606	0.202062
0.250000	-0.561917	-0.106778	0.455139	0.386071	-0.587197	0.201127
0.255000	-0.559641	-0.106411	0.453230	0.384545	-0.584781	0.200236
0.260000	-0.557281	-0.105959	0.451322	0.382922	-0.582317	0.199395
0.265000	-0.554901	-0.105474	0.449428	0.381268	-0.579849	0.198582
0.270000	-0.552552	-0.105083	0.447470	0.379686	-0.577363	0.197677
0.275000	-0.550294	-0.104765	0.445529	0.378198	-0.574938	0.196740
0.280000	-0.548125	-0.104401	0.443724	0.376736	-0.572644	0.195908
0.285000	-0.545983	-0.103951	0.442032	0.375239	-0.570430	0.195191
0.290000	-0.543831	-0.103448	0.440384	0.373706	-0.568237	0.194530
0.295000	-0.541658	-0.102986	0.438671	0.372185	-0.565993	0.193808
0.300000	-0.539501	-0.102643	0.436857	0.370742	-0.563700	0.192958
0.305000	-0.537376	-0.102344	0.435032	0.369342	-0.561420	0.192078
0.310000	-0.535185	-0.101976	0.433210	0.367865	-0.559103	0.191238
0.315000	-0.532886	-0.101430	0.431457	0.366222	-0.556763	0.190541
0.320000	-0.530548	-0.100759	0.429789	0.364485	-0.554451	0.189966
0.325000	-0.528243	-0.100100	0.428143	0.362773	-0.552169	0.189396
0.330000	-0.525973	-0.099482	0.426490	0.361106	-0.549905	0.188798
0.335000	-0.523765	-0.098980	0.424785	0.359542	-0.547646	0.188104
0.340000	-0.521559	-0.098609	0.422950	0.358054	-0.545313	0.187259
0.345000	-0.519273	-0.098254	0.421019	0.356529	-0.542878	0.186349
0.350000	-0.516951	-0.097937	0.419014	0.355006	-0.540379	0.185373
0.355000	-0.514608	-0.097723	0.416885	0.353529	-0.537797	0.184268
0.360000	-0.512222	-0.097534	0.414687	0.352043	-0.535151	0.183108
0.365000	-0.509786	-0.097251	0.412535	0.350473	-0.532502	0.182029
0.370000	-0.507396	-0.096877	0.410519	0.348877	-0.529958	0.181081
0.375000	-0.505069	-0.096423	0.408647	0.347271	-0.527534	0.180263
0.380000	-0.502728	-0.095912	0.406816	0.345625	-0.525125	0.179500
0.385000	-0.500376	-0.095413	0.404964	0.343979	-0.522698	0.178719
0.390000	-0.498037	-0.094919	0.403118	0.342343	-0.520281	0.177938
0.395000	-0.495735	-0.094447	0.401288	0.340741	-0.517896	0.177155
0.400000	-0.493475	-0.094067	0.399408	0.339217	-0.515506	0.176289
0.405000	-0.491280	-0.093765	0.397515	0.337776	-0.513145	0.175370
0.410000	-0.489231	-0.093421	0.395810	0.336394	-0.510978	0.174584
0.415000	-0.487331	-0.093014	0.394318	0.335062	-0.509020	0.173958
0.420000	-0.485465	-0.092545	0.392921	0.333714	-0.507136	0.173422
0.425000	-0.483522	-0.092008	0.391514	0.332282	-0.505202	0.172919
0.430000	-0.481452	-0.091439	0.390013	0.330759	-0.503140	0.172381
0.435000	-0.479264	-0.090936	0.388329	0.329205	-0.500905	0.171700
0.440000	-0.476995	-0.090547	0.386447	0.327670	-0.498508	0.170838
0.445000	-0.474713	-0.090244	0.384468	0.326178	-0.496048	0.169870
0.450000	-0.472503	-0.089997	0.382506	0.324759	-0.493639	0.168880
0.455000	-0.470329	-0.089734	0.380595	0.323352	-0.491281	0.167929
0.460000	-0.468132	-0.089376	0.378757	0.321877	-0.488951	0.167074
0.465000	-0.465912	-0.088944	0.376967	0.320346	-0.486636	0.166290
0.470000	-0.463679	-0.088524	0.375154	0.318815	-0.484300	0.165486
0.475000	-0.461406	-0.088147	0.373258	0.317284	-0.481893	0.164609
0.480000	-0.459139	-0.087809	0.371330	0.315780	-0.479472	0.163691
0.485000	-0.457043	-0.087488	0.369555	0.314384	-0.477236	0.162852
0.490000	-0.455162	-0.087083	0.368079	0.313065	-0.475298	0.162233
0.495000	-0.453413	-0.086552	0.366861	0.311749	-0.473585	0.161836
0.500000	-0.451586	-0.085956	0.365630	0.310350	-0.471820	0.161470
0.505000	-0.449621	-0.085376	0.364245	0.308881	-0.469886	0.161005
0.510000	-0.447544	-0.084838	0.362706	0.307371	-0.467798	0.160427
0.515000	-0.445408	-0.084398	0.361011	0.305883	-0.465586	0.159703
0.520000	-0.443209	-0.084074	0.359135	0.304427	-0.463234	0.158807
0.525000	-0.440947	-0.083738	0.357209	0.302927	-0.460816	0.157889
0.530000	-0.438722	-0.083284	0.355438	0.301381	-0.458508	0.157128
0.535000	-0.436569	-0.082820	0.353749	0.299870	-0.456290	0.156421
