Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.001238	-0.000463	0.000775	0.000982	-0.001162	0.000181
0.005000	-0.026057	-0.010889	0.015169	0.021331	-0.023802	0.002471
0.010000	-0.113831	-0.048914	0.064917	0.093961	-0.103200	0.009239
0.015000	-0.262109	-0.114085	0.148024	0.217196	-0.236791	0.019595
0.020000	-0.431760	-0.189442	0.242318	0.358651	-0.389179	0.030528
0.025000	-0.581437	-0.257098	0.324339	0.484128	-0.522950	0.038822
0.030000	-0.687029	-0.306217	0.380812	0.573450	-0.616518	0.043067
0.035000	-0.744714	-0.333937	0.410777	0.622759	-0.667123	0.044364
0.040000	-0.763455	-0.344022	0.419433	0.639401	-0.682940	0.043539
0.045000	-0.756409	-0.343043	0.413366	0.634769	-0.675369	0.040601
0.050000	-0.735807	-0.336286	0.399521	0.618973	-0.655482	0.036509
0.055000	-0.710541	-0.327474	0.383067	0.599298	-0.631395	0.032097
0.060000	-0.686174	-0.319568	0.366606	0.580665	-0.607822	0.027157
0.065000	-0.665659	-0.314014	0.351645	0.565614	-0.587341	0.021727
0.070000	-0.650098	-0.310764	0.339334	0.554754	-0.571249	0.016495
0.075000	-0.639857	-0.309830	0.330027	0.548302	-0.559963	0.011661
0.080000	-0.634424	-0.311246	0.323178	0.545983	-0.552872	0.006889
0.085000	-0.632797	-0.313898	0.318899	0.546574	-0.549462	0.002888
0.090000	-0.633263	-0.316906	0.316358	0.548580	-0.548264	-0.000316
0.095000	-0.633081	-0.319687	0.313394	0.550080	-0.546447	-0.003634
0.100000	-0.629362	-0.321602	0.307760	0.549039	-0.541048	-0.007992
0.105000	-0.620469	-0.322337	0.298133	0.544329	-0.530355	-0.013974
0.110000	-0.606728	-0.322288	0.284440	0.536367	-0.514516	-0.021851
0.115000	-0.589784	-0.321603	0.268182	0.526189	-0.495347	-0.030843
0.120000	-0.571501	-0.320110	0.251391	0.514771	-0.475097	-0.039674
0.125000	-0.552671	-0.317877	0.234794	0.502611	-0.454643	-0.047968
0.130000	-0.533662	-0.314598	0.219063	0.489743	-0.434586	-0.055157
0.135000	-0.515817	-0.310269	0.205548	0.476940	-0.416480	-0.060461
0.140000	-0.501585	-0.305986	0.195600	0.466251	-0.402520	-0.063731
0.145000	-0.494219	-0.303189	0.191030	0.460384	-0.395628	-0.064755
0.150000	-0.496372	-0.301687	0.194685	0.460760	-0.398982	-0.061778
0.155000	-0.507810	-0.300931	0.206879	0.466927	-0.412626	-0.054301
0.160000	-0.524264	-0.301158	0.223106	0.476557	-0.431494	-0.045063
0.165000	-0.538013	-0.301517	0.236496	0.484703	-0.447163	-0.037540
0.170000	-0.541619	-0.299724	0.241895	0.485749	-0.452361	-0.033388
0.175000	-0.531393	-0.294210	0.237183	0.476662	-0.443737	-0.032924
0.180000	-0.508343	-0.285369	0.222973	0.458250	-0.422225	-0.036024
0.185000	-0.476485	-0.274580	0.201906	0.433627	-0.391669	-0.041958
0.190000	-0.439148	-0.262910	0.176238	0.405333	-0.355293	-0.050040
0.195000	-0.397653	-0.250704	0.146949	0.374329	-0.314426	-0.059903
0.200000	-0.352601	-0.238157	0.114444	0.341074	-0.269649	-0.071426
0.205000	-0.305885	-0.225569	0.080316	0.306835	-0.222973	-0.083862
0.210000	-0.261143	-0.213962	0.047181	0.274302	-0.178011	-0.096291
0.215000	-0.221837	-0.204138	0.017699	0.245937	-0.138296	-0.107641
0.220000	-0.189880	-0.196205	-0.006325	0.222906	-0.105976	-0.116931
0.225000	-0.165916	-0.190420	-0.024503	0.205730	-0.081645	-0.124086
0.230000	-0.150127	-0.186875	-0.036749	0.194568	-0.065459	-0.129109
0.235000	-0.141990	-0.184790	-0.042801	0.188667	-0.057267	-0.131400
0.240000	-0.140253	-0.184280	-0.044027	0.187369	-0.055556	-0.131813
0.245000	-0.144132	-0.185900	-0.041768	0.190544	-0.059100	-0.131444
0.250000	-0.154288	-0.189063	-0.034775	0.198234	-0.069001	-0.129233
0.255000	-0.172172	-0.193528	-0.021355	0.211137	-0.087074	-0.124063
0.260000	-0.198781	-0.199521	-0.000740	0.229960	-0.114338	-0.115621
0.265000	-0.233491	-0.207130	0.026361	0.254393	-0.150026	-0.104367
0.270000	-0.273623	-0.216057	0.057566	0.282717	-0.191212	-0.091505
0.275000	-0.315452	-0.225798	0.089654	0.312491	-0.233888	-0.078602
0.280000	-0.356873	-0.235915	0.120957	0.342246	-0.275875	-0.066371
0.285000	-0.397519	-0.245891	0.151629	0.371473	-0.317051	-0.054422
0.290000	-0.437959	-0.255898	0.182061	0.400598	-0.357969	-0.042630
0.295000	-0.479837	-0.266041	0.213796	0.430632	-0.400469	-0.030163
0.300000	-0.524652	-0.275743	0.248909	0.462108	-0.446615	-0.015493
0.305000	-0.572314	-0.284959	0.287355	0.494947	-0.496330	0.001383
0.310000	-0.621022	-0.293659	0.327362	0.528091	-0.547549	0.019458
0.315000	-0.667048	-0.301457	0.365591	0.559166	-0.596194	0.037028
0.320000	-0.706612	-0.308126	0.398487	0.585859	-0.638029	0.052170
0.325000	-0.736924	-0.313687	0.423237	0.606570	-0.669819	0.063249
0.330000	-0.756331	-0.318114	0.438218	0.620331	-0.689673	0.069342
0.335000	-0.764734	-0.320376	0.444357	0.626488	-0.698069	0.071580
0.340000	-0.761674	-0.320008	0.441666	0.624509	-0.694749	0.070239
0.345000	-0.745969	-0.317455	0.428513	0.613968	-0.678087	0.064119
0.350000	-0.717813	-0.312421	0.405392	0.594806	-0.648483	0.053677
0.355000	-0.680392	-0.304663	0.375730	0.568722	-0.609752	0.041030
0.360000	-0.640666	-0.295659	0.345008	0.540587	-0.569079	0.028492
0.365000	-0.607401	-0.287665	0.319736	0.516766	-0.535283	0.018516
0.370000	-0.586832	-0.281590	0.305242	0.501383	-0.515039	0.013655
0.375000	-0.579840	-0.277221	0.302619	0.494825	-0.509488	0.014663
0.380000	-0.582712	-0.273969	0.308742	0.494605	-0.514681	0.020076
0.385000	-0.589657	-0.270820	0.318837	0.496797	-0.524520	0.027723
0.390000	-0.595255	-0.267396	0.327859	0.498052	-0.532960	0.034908
0.395000	-0.596079	-0.264142	0.331937	0.496649	-0.535790	0.039141
0.400000	-0.591155	-0.260464	0.330691	0.491683	-0.532228	0.040545
0.405000	-0.580791	-0.255741	0.325050	0.482971	-0.522987	0.040016
0.410000	-0.565687	-0.250222	0.315465	0.471065	-0.508734	0.037668
0.415000	-0.547364	-0.243567	0.303796	0.456644	-0.491417	0.034773
0.420000	-0.527560	-0.235851	0.291710	0.440755	-0.473006	0.032250
0.425000	-0.507245	-0.228314	0.278932	0.424675	-0.453899	0.029224
0.430000	-0.487093	-0.222082	0.265012	0.409442	-0.434228	0.024785
0.435000	-0.467705	-0.216852	0.250853	0.395229	-0.414859	0.019630
0.440000	-0.449418	-0.211739	0.237679	0.381719	-0.396696	0.014977
0.445000	-0.432767	-0.207089	0.225678	0.369421	-0.380153	0.010732
0.450000	-0.418815	-0.203534	0.215281	0.359313	-0.366096	0.006782
0.455000	-0.408876	-0.201451	0.207425	0.352373	-0.355822	0.003449
