x(CS2), P1(CS2), P2(acetone)
0, 0, 343.8
0.0624, 110.7, 331
0.067, 119.7, 327.8
0.0711, 123.1, 328.8
0.1212, 191.7, 313.5
0.133, 206.5, 308.3
0.1857, 258.4, 295.4
0.1991, 271.9, 290.6
0.2085, 283.9, 283.4
0.2761, 323.3, 275.2
0.2869, 328.7, 274.2
0.3502, 358.3, 263.9
0.3551, 361.3, 262.1
0.4058, 379.6, 254.5
0.4141, 382.1, 253
0.4474, 390.4, 250.2
0.453, 394.2, 247.6
0.4933, 403.2, 242.8
0.4974, 404.1, 242.1
0.5702, 419.4, 232.6
0.573, 420.3, 232.2
0.6124, 426.9, 227
0.6146, 427.7, 225.9
0.6161, 428.1, 225.5
0.6713, 438, 217
0.6713, 437.3, 217.6
0.722, 446.9, 207.7
0.7197, 447.5, 207.1
0.828, 464.9, 180.2
0.9191, 490.7, 123.4
0.9242, 490, 120.3
0.935, 491.9, 109.4
0.9407, 492, 103.5
0.9549, 496.2, 85.9
0.962, 500.8, 73.4
0.9692, 502, 62
1, 512.3, 0
