t,x,y
0.00E+00,-2.04E+00,-2.02E+00
4.17E-02,-2.04E+00,-2.02E+00
8.33E-02,-1.98E+00,-1.98E+00
1.25E-01,-2.02E+00,-1.98E+00
1.67E-01,-2.02E+00,-1.98E+00
2.08E-01,-2.02E+00,-1.96E+00
2.50E-01,-2.08E+00,-1.86E+00
2.92E-01,-2.17E+00,-1.77E+00
3.33E-01,-2.25E+00,-1.73E+00
3.75E-01,-2.33E+00,-1.65E+00
4.17E-01,-2.35E+00,-1.59E+00
4.58E-01,-2.37E+00,-1.65E+00
5.00E-01,-2.49E+00,-1.65E+00
5.42E-01,-2.52E+00,-1.65E+00
5.83E-01,-2.60E+00,-1.50E+00
6.25E-01,-2.70E+00,-1.51E+00
6.67E-01,-2.76E+00,-1.55E+00
7.08E-01,-2.80E+00,-1.55E+00
7.50E-01,-2.87E+00,-1.67E+00
7.92E-01,-3.03E+00,-1.88E+00
8.33E-01,-3.01E+00,-2.02E+00
8.75E-01,-3.03E+00,-2.04E+00
9.17E-01,-3.03E+00,-2.04E+00
9.58E-01,-3.01E+00,-2.10E+00
1.00E+00,-3.01E+00,-2.29E+00
