Time,Healthy,Osteoarthritic
0,0,0
5,-0.0784,-0.126
10,-0.0884,-0.143
15,-0.0956,-0.154
20,-0.1012,-0.162
25,-0.106,-0.17
30,-0.1108,-0.176
35,-0.1152,-0.181
40,-0.1188,-0.187
45,-0.1224,-0.192
50,-0.126,-0.197
55,-0.1288,-0.201
60,-0.132,-0.205
65,-0.1348,-0.209
70,-0.1376,-0.213
75,-0.1404,-0.217
80,-0.1428,-0.22
85,-0.1452,-0.224
90,-0.1476,-0.227
95,-0.1496,-0.23
100,-0.152,-0.233
105,-0.154,-0.236
110,-0.156,-0.238
115,-0.158,-0.242
120,-0.16,-0.245
125,-0.162,-0.248
130,-0.1636,-0.251
135,-0.1656,-0.253
140,-0.1672,-0.255
145,-0.1692,-0.257
150,-0.1708,-0.26
155,-0.1728,-0.261
160,-0.174,-0.264
165,-0.1756,-0.267
170,-0.1772,-0.269
175,-0.1788,-0.271
180,-0.18,-0.273
185,-0.1816,-0.275
190,-0.1828,-0.277
195,-0.184,-0.279
200,-0.186,-0.281
205,-0.1872,-0.283
210,-0.1888,-0.285
215,-0.1896,-0.287
220,-0.1912,-0.288
225,-0.1924,-0.29
230,-0.1936,-0.293
235,-0.1952,-0.294
240,-0.196,-0.296
245,-0.1972,-0.298
250,-0.1984,-0.298
255,-0.2,-0.301
260,-0.2004,-0.303
265,-0.202,-0.304
270,-0.2028,-0.305
275,-0.204,-0.307
280,-0.2052,-0.309
285,-0.2064,-0.311
290,-0.2076,-0.312
295,-0.2088,-0.313
300,-0.2096,-0.315
305,-0.2104,-0.317
310,-0.2112,-0.318
315,-0.2124,-0.32
320,-0.2136,-0.321
325,-0.2144,-0.322
330,-0.2152,-0.324
335,-0.2164,-0.325
340,-0.2176,-0.326
345,-0.2184,-0.328
350,-0.2192,-0.329
355,-0.2204,-0.33
360,-0.2212,-0.331
365,-0.222,-0.333
370,-0.2232,-0.334
375,-0.224,-0.336
380,-0.2248,-0.337
385,-0.2256,-0.338
390,-0.2268,-0.339
395,-0.2276,-0.34
400,-0.2284,-0.341
405,-0.2292,-0.343
410,-0.23,-0.344
415,-0.2308,-0.345
420,-0.2316,-0.347
425,-0.2324,-0.348
430,-0.2332,-0.349
435,-0.234,-0.35
440,-0.2348,-0.351
445,-0.2356,-0.352
450,-0.2364,-0.353
455,-0.2376,-0.354
460,-0.238,-0.355
465,-0.2384,-0.357
470,-0.2396,-0.358
475,-0.24,-0.359
480,-0.2408,-0.36
485,-0.2416,-0.361
490,-0.2424,-0.362
495,-0.2428,-0.363
500,-0.244,-0.365
505,-0.2448,-0.365
510,-0.2456,-0.366
515,-0.246,-0.367
520,-0.2464,-0.368
525,-0.2472,-0.369
530,-0.248,-0.37
535,-0.2488,-0.372
540,-0.2492,-0.372
545,-0.25,-0.374
550,-0.2508,-0.374
555,-0.2516,-0.376
560,-0.252,-0.376
565,-0.2528,-0.378
570,-0.2536,-0.378
575,-0.2544,-0.379
580,-0.2548,-0.38
585,-0.2552,-0.381
590,-0.256,-0.382
595,-0.2568,-0.383
600,-0.2572,-0.384
605,-0.258,-0.385
610,-0.2584,-0.386
615,-0.2592,-0.387
620,-0.2596,-0.387
625,-0.2604,-0.388
630,-0.2608,-0.39
635,-0.2616,-0.391
640,-0.262,-0.391
645,-0.2624,-0.392
650,-0.2636,-0.393
655,-0.264,-0.393
660,-0.2644,-0.394
665,-0.2652,-0.395
670,-0.2656,-0.396
675,-0.2664,-0.396
680,-0.2668,-0.397
685,-0.2676,-0.398
690,-0.268,-0.399
695,-0.2684,-0.401
700,-0.2692,-0.401
705,-0.2696,-0.402
710,-0.2704,-0.403
715,-0.2704,-0.403
720,-0.2712,-0.403
725,-0.2716,-0.405
730,-0.2724,-0.405
735,-0.2728,-0.406
740,-0.2732,-0.408
745,-0.274,-0.408
750,-0.2748,-0.409
755,-0.2748,-0.41
760,-0.2756,-0.41
765,-0.276,-0.411
770,-0.2764,-0.412
775,-0.2768,-0.413
780,-0.2776,-0.414
785,-0.278,-0.414
790,-0.2784,-0.415
795,-0.2792,-0.416
800,-0.2792,-0.416
805,-0.28,-0.417
810,-0.2808,-0.418
815,-0.2812,-0.418
820,-0.2816,-0.419
825,-0.282,-0.419
830,-0.2824,-0.421
835,-0.2832,-0.421
840,-0.2832,-0.422
845,-0.284,-0.423
850,-0.2844,-0.424
855,-0.2848,-0.424
860,-0.2852,-0.424
865,-0.286,-0.426
