Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.000971	-0.000620	0.000351	0.000919	-0.000764	-0.000155
0.005000	-0.018467	-0.012024	0.006443	0.017604	-0.014381	-0.003223
0.010000	-0.077560	-0.050429	0.027131	0.073895	-0.060443	-0.013451
0.015000	-0.174346	-0.113496	0.060850	0.166185	-0.135790	-0.030395
0.020000	-0.280797	-0.184201	0.096596	0.268467	-0.217888	-0.050578
0.025000	-0.368877	-0.245838	0.123039	0.354906	-0.284007	-0.070898
0.030000	-0.424583	-0.288505	0.136078	0.411701	-0.323697	-0.088004
0.035000	-0.447519	-0.309330	0.138189	0.436967	-0.338159	-0.098808
0.040000	-0.444416	-0.312911	0.131505	0.437243	-0.332508	-0.104735
0.045000	-0.425064	-0.306804	0.118260	0.422544	-0.313688	-0.108856
0.050000	-0.398681	-0.295729	0.102951	0.400918	-0.289617	-0.111300
0.055000	-0.371932	-0.281664	0.090268	0.377353	-0.266851	-0.110502
0.060000	-0.348206	-0.266059	0.082147	0.354646	-0.248464	-0.106182
0.065000	-0.328340	-0.249809	0.078531	0.333794	-0.234907	-0.098887
0.070000	-0.312057	-0.233251	0.078807	0.314834	-0.225665	-0.089169
0.075000	-0.299157	-0.216766	0.082390	0.297868	-0.220286	-0.077582
0.080000	-0.290183	-0.200100	0.090083	0.283064	-0.219546	-0.063518
0.085000	-0.285727	-0.182077	0.103650	0.270087	-0.224807	-0.045280
0.090000	-0.286256	-0.163162	0.123093	0.259472	-0.236338	-0.023134
0.095000	-0.292931	-0.145680	0.147252	0.253232	-0.254140	0.000907
0.100000	-0.307251	-0.130345	0.176906	0.252646	-0.279529	0.026882
0.105000	-0.330279	-0.116535	0.213744	0.257968	-0.314092	0.056123
0.110000	-0.361644	-0.105351	0.256293	0.269619	-0.356766	0.087146
0.115000	-0.399644	-0.098571	0.301073	0.287644	-0.404559	0.116915
0.120000	-0.441972	-0.096245	0.345728	0.310740	-0.454779	0.144039
0.125000	-0.484806	-0.098426	0.386380	0.336729	-0.502979	0.166250
0.130000	-0.522666	-0.103045	0.419621	0.361254	-0.544029	0.182775
0.135000	-0.549109	-0.105256	0.443852	0.377798	-0.573286	0.195488
0.140000	-0.557958	-0.101804	0.456154	0.380914	-0.585498	0.204584
0.145000	-0.546088	-0.090631	0.455457	0.367610	-0.578242	0.210633
0.150000	-0.514653	-0.069423	0.445230	0.337216	-0.554188	0.216972
0.155000	-0.467342	-0.035576	0.431766	0.290359	-0.519100	0.228740
0.160000	-0.408024	0.012677	0.420702	0.228253	-0.478465	0.250212
0.165000	-0.338529	0.076248	0.414777	0.151428	-0.434921	0.283493
0.170000	-0.257028	0.149861	0.406888	0.061873	-0.383312	0.321439
0.175000	-0.161729	0.219184	0.380913	-0.033171	-0.313294	0.346466
0.180000	-0.055484	0.267963	0.323447	-0.122675	-0.218776	0.341451
0.185000	0.055814	0.283703	0.227889	-0.196020	-0.099347	0.295367
0.190000	0.166461	0.259234	0.092773	-0.245775	0.042544	0.203231
0.195000	0.268343	0.196550	-0.071793	-0.268406	0.196377	0.072029
0.200000	0.349682	0.107058	-0.242624	-0.263699	0.341968	-0.078269
0.205000	0.399130	0.004472	-0.394658	-0.233020	0.458294	-0.225274
0.210000	0.411002	-0.102083	-0.513085	-0.178355	0.533522	-0.355167
0.215000	0.387748	-0.206233	-0.593981	-0.104797	0.566801	-0.462004
0.220000	0.337059	-0.298135	-0.635195	-0.022473	0.561331	-0.538858
0.225000	0.269085	-0.366384	-0.635469	0.056176	0.522244	-0.578420
0.230000	0.193989	-0.403797	-0.597786	0.121133	0.457132	-0.578264
0.235000	0.118684	-0.409077	-0.527762	0.167658	0.373226	-0.540884
0.240000	0.046510	-0.387351	-0.433861	0.196785	0.277342	-0.474126
0.245000	-0.021268	-0.347975	-0.326707	0.213182	0.176345	-0.389528
0.250000	-0.084699	-0.300237	-0.215537	0.222243	0.075539	-0.297782
0.255000	-0.145253	-0.250824	-0.105571	0.228675	-0.022910	-0.205765
0.260000	-0.203972	-0.204247	-0.000275	0.235685	-0.117604	-0.118081
0.265000	-0.260858	-0.162575	0.098284	0.244469	-0.207350	-0.037118
0.270000	-0.316227	-0.126172	0.190055	0.255419	-0.292301	0.036883
0.275000	-0.370029	-0.095269	0.274760	0.268640	-0.372269	0.103629
0.280000	-0.421488	-0.068563	0.352924	0.282931	-0.447107	0.164176
0.285000	-0.470218	-0.043631	0.426587	0.296671	-0.517770	0.221099
0.290000	-0.515907	-0.019101	0.496806	0.308887	-0.584690	0.275803
0.295000	-0.557881	0.004409	0.562290	0.319547	-0.646731	0.327183
0.300000	-0.595213	0.026472	0.621686	0.328363	-0.702577	0.374214
0.305000	-0.627186	0.047483	0.674669	0.334692	-0.751626	0.416935
0.310000	-0.654495	0.067020	0.721515	0.339179	-0.794439	0.455260
0.315000	-0.679069	0.085095	0.764164	0.342931	-0.833250	0.490320
0.320000	-0.702456	0.101798	0.804254	0.346790	-0.869899	0.523110
0.325000	-0.725175	0.116540	0.841714	0.351395	-0.904643	0.553248
0.330000	-0.747348	0.129633	0.876981	0.356638	-0.937806	0.581168
0.335000	-0.769009	0.142807	0.911817	0.361538	-0.970425	0.608887
0.340000	-0.790138	0.156775	0.946913	0.365672	-1.002886	0.637214
0.345000	-0.810501	0.170568	0.981069	0.369465	-1.034363	0.664898
0.350000	-0.830094	0.183637	1.013730	0.373232	-1.064532	0.691300
0.355000	-0.849054	0.195294	1.044348	0.377448	-1.093155	0.715707
0.360000	-0.866388	0.204758	1.071146	0.381992	-1.118635	0.736643
0.365000	-0.881593	0.212675	1.094269	0.386200	-1.140764	0.754564
0.370000	-0.895864	0.220374	1.116238	0.389995	-1.161687	0.771693
0.375000	-0.909503	0.228047	1.137549	0.393439	-1.181866	0.788427
0.380000	-0.921811	0.235232	1.157043	0.396396	-1.200226	0.803830
0.385000	-0.932363	0.241670	1.174033	0.398771	-1.216128	0.817357
0.390000	-0.940561	0.246384	1.186945	0.400783	-1.228315	0.827532
0.395000	-0.945810	0.248334	1.194144	0.402688	-1.235502	0.832814
0.400000	-0.947716	0.247244	1.194960	0.404418	-1.237074	0.832656
0.405000	-0.946022	0.242732	1.188754	0.406044	-1.232513	0.826469
0.410000	-0.941202	0.233569	1.174771	0.408552	-1.221657	0.813105
0.415000	-0.934249	0.220425	1.154674	0.412126	-1.206040	0.793913
0.420000	-0.925140	0.206289	1.131429	0.415029	-1.187360	0.772332
0.425000	-0.912644	0.192705	1.105349	0.415657	-1.165088	0.749432
0.430000	-0.896223	0.179832	1.076055	0.413609	-1.138695	0.725086
0.435000	-0.876230	0.167744	1.043974	0.409045	-1.108630	0.699585
0.440000	-0.852460	0.155779	1.008239	0.402229	-1.074275	0.672046
0.445000	-0.825332	0.143476	0.968808	0.393669	-1.035847	0.642178
0.450000	-0.796162	0.131599	0.927760	0.383685	-0.995306	0.611621
0.455000	-0.766051	0.121350	0.887401	0.372218	-0.954620	0.582402
0.460000	-0.734917	0.113076	0.847993	0.359020	-0.913893	0.554873
0.465000	-0.703100	0.106348	0.809448	0.344535	-0.873269	0.528735
0.470000	-0.671342	0.100488	0.771829	0.329582	-0.833215	0.503632
0.475000	-0.640125	0.094613	0.734738	0.314951	-0.793777	0.478826
0.480000	-0.610222	0.088869	0.699091	0.301003	-0.755932	0.454928
0.485000	-0.582228	0.084952	0.667180	0.287103	-0.721346	0.434243
0.490000	-0.555336	0.084069	0.639405	0.272086	-0.689783	0.417697
0.495000	-0.526823	0.086741	0.613564	0.254081	-0.658403	0.404322
0.500000	-0.494349	0.093869	0.588218	0.231217	-0.625020	0.393803
0.505000	-0.458400	0.105621	0.564020	0.203677	-0.590294	0.386617
0.510000	-0.420199	0.121162	0.541361	0.172649	-0.555157	0.382508
0.515000	-0.379498	0.138710	0.518207	0.139019	-0.518290	0.379271
0.520000	-0.334913	0.156172	0.491085	0.103196	-0.476890	0.373694
0.525000	-0.282996	0.175535	0.458532	0.062043	-0.428121	0.366079
0.530000	-0.218726	0.204322	0.423048	0.008316	-0.370528	0.362212
0.535000	-0.138977	0.251174	0.390151	-0.064777	-0.305492	0.370269
0.540000	-0.045499	0.320069	0.365568	-0.158523	-0.237330	0.395853
0.545000	0.057239	0.408147	0.350909	-0.268691	-0.169550	0.438241
0.550000	0.164085	0.507440	0.343355	-0.387705	-0.103501	0.491206
0.555000	0.266827	0.602303	0.335475	-0.501792	-0.039634	0.541426
0.560000	0.353567	0.671263	0.317696	-0.591685	0.020710	0.570976
0.565000	0.413345	0.697459	0.284114	-0.641323	0.074611	0.566711
0.570000	0.440713	0.671773	0.231060	-0.642294	0.121043	0.521251
0.575000	0.437382	0.593774	0.156392	-0.595338	0.162229	0.433108
0.580000	0.408961	0.475061	0.066100	-0.510390	0.197951	0.312439
0.585000	0.363116	0.336040	-0.027076	-0.403657	0.225277	0.178380
0.590000	0.307777	0.196720	-0.111057	-0.291271	0.241814	0.049457
0.595000	0.248203	0.069692	-0.178511	-0.183537	0.246363	-0.062827
0.600000	0.187302	-0.038293	-0.225595	-0.086030	0.238386	-0.152356
0.605000	0.127478	-0.121688	-0.249166	-0.003343	0.217455	-0.214112
0.610000	0.069679	-0.176140	-0.245819	0.061465	0.182152	-0.243618
0.615000	0.013028	-0.200382	-0.213410	0.108169	0.130734	-0.238903
0.620000	-0.043510	-0.198379	-0.154868	0.139654	0.064293	-0.203947
0.625000	-0.099974	-0.178090	-0.078117	0.160540	-0.012619	-0.147921
0.630000	-0.156151	-0.147008	0.009144	0.175029	-0.095433	-0.079596
0.635000	-0.211285	-0.110755	0.100530	0.185929	-0.180026	-0.005903
0.640000	-0.264686	-0.074272	0.190414	0.195697	-0.262752	0.067055
0.645000	-0.315640	-0.042087	0.273553	0.206534	-0.340171	0.133637
0.650000	-0.363763	-0.016550	0.347213	0.219574	-0.410482	0.190908
0.655000	-0.408577	0.001727	0.410304	0.234895	-0.472781	0.237886
0.660000	-0.449404	0.013699	0.463103	0.251554	-0.526836	0.275282
0.665000	-0.486142	0.022331	0.508473	0.267781	-0.574241	0.306459
0.670000	-0.519262	0.030133	0.549395	0.282399	-0.616990	0.334591
0.675000	-0.549261	0.036301	0.585562	0.296158	-0.655190	0.359032
0.680000	-0.575862	0.039689	0.615552	0.309560	-0.687863	0.378303
0.685000	-0.599744	0.041744	0.641488	0.322161	-0.716625	0.394464
0.690000	-0.621836	0.044344	0.666181	0.333415	-0.743636	0.410222
0.695000	-0.642205	0.048299	0.690504	0.342892	-0.769439	0.426548
0.700000	-0.661199	0.053931	0.715130	0.350606	-0.794623	0.444018
0.705000	-0.680130	0.060542	0.740672	0.357719	-0.820300	0.462581
0.710000	-0.699354	0.066514	0.765868	0.365370	-0.845946	0.480576
0.715000	-0.718004	0.070999	0.789003	0.373549	-0.870071	0.496522
