Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.000000	-0.000514	-0.000191	0.000323	0.000407	-0.000483	0.000076
0.005000	-0.013070	-0.004542	0.008528	0.010169	-0.012470	0.002301
0.010000	-0.062681	-0.018111	0.044570	0.046645	-0.061922	0.015276
0.015000	-0.155645	-0.035455	0.120190	0.110332	-0.159253	0.048922
0.020000	-0.275123	-0.046696	0.228427	0.185802	-0.290724	0.104922
0.025000	-0.397568	-0.046049	0.351519	0.256122	-0.432485	0.176363
0.030000	-0.505621	-0.034245	0.471376	0.311692	-0.564069	0.252378
0.035000	-0.590673	-0.016773	0.573900	0.350709	-0.672366	0.321657
0.040000	-0.652778	0.001327	0.654106	0.376115	-0.754530	0.378414
0.045000	-0.697719	0.018360	0.716079	0.392228	-0.816256	0.424028
0.050000	-0.731803	0.033665	0.765468	0.403070	-0.864449	0.461379
0.055000	-0.759212	0.045880	0.805092	0.411843	-0.903151	0.491308
0.060000	-0.782615	0.055475	0.838090	0.419814	-0.935714	0.515900
0.065000	-0.803795	0.063723	0.867518	0.427280	-0.964933	0.537652
0.070000	-0.824141	0.071512	0.895652	0.434530	-0.992922	0.558392
0.075000	-0.845125	0.079987	0.925112	0.441752	-1.022046	0.580294
0.080000	-0.867842	0.090353	0.958195	0.448884	-1.054263	0.605379
0.085000	-0.892586	0.102972	0.995558	0.455884	-1.090120	0.634236
0.090000	-0.918624	0.117621	1.036245	0.462459	-1.128643	0.666184
0.095000	-0.944615	0.133490	1.078105	0.468303	-1.167817	0.699514
0.100000	-0.969166	0.148831	1.117997	0.473620	-1.205024	0.731404
0.105000	-0.990479	0.161928	1.152407	0.478364	-1.237196	0.758832
0.110000	-1.007190	0.172217	1.179407	0.482072	-1.262432	0.780360
0.115000	-1.019543	0.179468	1.199011	0.485017	-1.280882	0.795865
0.120000	-1.028923	0.182703	1.211626	0.488565	-1.293581	0.805016
0.125000	-1.036916	0.182225	1.219141	0.493455	-1.302534	0.809079
0.130000	-1.044351	0.179629	1.223980	0.499247	-1.309621	0.810374
0.135000	-1.050434	0.175664	1.226098	0.505049	-1.314356	0.809307
0.140000	-1.053461	0.169970	1.223431	0.510083	-1.314563	0.804480
0.145000	-1.052762	0.162346	1.215108	0.514081	-1.309355	0.795273
0.150000	-1.048873	0.152674	1.201546	0.517420	-1.299279	0.781859
0.155000	-1.042226	0.141277	1.183503	0.520163	-1.285025	0.764861
0.160000	-1.033362	0.129205	1.162567	0.522015	-1.267820	0.745805
0.165000	-1.022449	0.117358	1.139807	0.522555	-1.248379	0.725824
0.170000	-1.008682	0.106753	1.115435	0.520728	-1.226359	0.705630
0.175000	-0.991522	0.098461	1.089984	0.515609	-1.201758	0.686149
0.180000	-0.970668	0.091450	1.062118	0.507617	-1.173629	0.666013
0.185000	-0.946364	0.083044	1.029408	0.498437	-1.140712	0.642274
0.190000	-0.919307	0.072017	0.991324	0.489183	-1.103103	0.613920
0.195000	-0.890437	0.059688	0.950124	0.479633	-1.062648	0.583015
0.200000	-0.860213	0.047979	0.908191	0.468944	-1.020988	0.552045
0.205000	-0.825276	0.034711	0.859987	0.456433	-0.972987	0.516554
0.210000	-0.775832	0.012970	0.788802	0.440438	-0.903341	0.462903
0.215000	-0.706447	-0.020068	0.686378	0.419454	-0.804148	0.384694
0.220000	-0.619153	-0.061543	0.557610	0.393000	-0.679404	0.286404
0.225000	-0.518770	-0.107461	0.411308	0.361555	-0.536981	0.175426
0.230000	-0.410129	-0.157943	0.252186	0.327976	-0.382387	0.054411
0.235000	-0.297587	-0.216974	0.080614	0.297082	-0.218354	-0.078727
0.240000	-0.184947	-0.288206	-0.103259	0.273175	-0.047163	-0.226013
0.245000	-0.075265	-0.373256	-0.297991	0.258954	0.128590	-0.387544
0.250000	0.029763	-0.470924	-0.500687	0.254704	0.306256	-0.560960
0.255000	0.129796	-0.576656	-0.706452	0.257995	0.482807	-0.740802
0.260000	0.224760	-0.683697	-0.908457	0.264967	0.654263	-0.919230
0.265000	0.314448	-0.785341	-1.099790	0.271870	0.816510	-1.088380
0.270000	0.397212	-0.876079	-1.273291	0.276474	0.964465	-1.240939
0.275000	0.469652	-0.950478	-1.420130	0.277605	1.091066	-1.368670
0.280000	0.528090	-1.002288	-1.530377	0.273778	1.188456	-1.462234
0.285000	0.570867	-1.026228	-1.597095	0.262903	1.251673	-1.514576
0.290000	0.597830	-1.020271	-1.618101	0.243897	1.279368	-1.523264
0.295000	0.607108	-0.987619	-1.594726	0.219688	1.271229	-1.490917
0.300000	0.593830	-0.935614	-1.529444	0.197329	1.225873	-1.423201
0.305000	0.552452	-0.872047	-1.424500	0.184518	1.141393	-1.325911
0.310000	0.480477	-0.801413	-1.281889	0.185293	1.017502	-1.202795
